Method,Type,MAE Thermo,MAE Kinetics,Sum MAE,Average Time (s),Efficiency Score
B2GP-PLYP-D4,DFT,2.406770656,1.613129132,4.019899788,224.3837433,0.7943666746
M06-D4,DFT,2.36608153,2.744182053,5.110263583,153.951385,0.7986640751
B97M-V,DFT,3.551502525,3.910819363,7.462321888,62.59880749,0.8109749207
ωB97M-V,DFT,1.890779691,1.486227224,3.377006915,211.5710695,0.80216367
B3PW91-D4,DFT,3.26388712,3.620560798,6.884447918,123.9465882,0.7910743018
M06-2X-D3(0),DFT,1.888021105,1.49161455,3.379635655,133.2500588,0.8191301266
OLYP-D3BJ,DFT,6.671821205,6.862263367,13.53408457,35.38974866,0.7784108679
g-xTB,SE,5.258474122,4.322973745,9.581447867,0.07837756762,0.943129986
GNF0-xTB,SE,20.33856895,15.43510015,35.7736691,0.59068,0.6992519709
GFN-xTB,SE,12.76559936,12.07261115,24.83821051,2.737608,0.7634923021
GFN2-xTB,SE,15.5483336,12.8011316,28.3494652,2.64832,0.7336189128
GFN-FF,SE,54.45352663,40.2220046,94.67553123,0.579348,0.1833908484
AM1,SE,26.15514488,14.79952991,40.95467479,0.289888,0.6616023308
MNDO,SE,39.34172982,13.91022173,53.25195155,0.278636,0.5541717862
PM3,SE,9.359959639,7.761747414,17.12170705,0.275848,0.8708424349
r2SCAN-3c,DFT,3.484246781,4.828971271,8.313218052,3.726228,0.8996162257
AllScAIP-MD-direct-all-OMOL,MLIP,2.673666974,1.970425203,4.644092177,0.02044199792,0.9884348281
eSEN-MD-direct-all-OMOL,MLIP,1.908127089,1.696769675,3.604896764,0.0250331606,0.9973747869
AllScAIP-MD-conserving-all-OMOL,MLIP,2.53875175,1.911737407,4.450489157,0.05860361766,0.9887739916
eSEN-SM-direct-all-OMOL,MLIP,2.254148079,2.831361422,5.085509501,0.01313416149,0.984832622
eSEN-SM-conserving-all-OMOL,MLIP,2.240314284,2.208376717,4.448691001,0.03978398922,0.9894528701
MACE-MP-large,MLIP,25.44897346,14.87867485,40.32764831,0.0572700175,0.6744482896
MACE-MP-medium,MLIP,23.21445348,15.09192579,38.30637927,0.0335379474,0.6929988465
MACE-MP-small,MLIP,24.5939627,17.12734809,41.72131079,0.0572700175,0.6622363728
MACE-OFF-large,MLIP,41.04183199,24.95089,65.99272199,0.1009732216,0.4480616455
MACE-OFF-medium,MLIP,39.37320522,23.39239752,62.76560274,0.03476461879,0.47863194
MACE-OFF-small,MLIP,41.32875177,19.98077068,61.30952245,0.02223824062,0.4918410394
MACE-OMOL,MLIP,2.502387351,2.619754757,5.122142108,0.0858709545,0.9819484969
MACE-ANICC,MLIP,37.59518028,16.34045166,53.93563194,0.07534957492,0.5545820098
Mattersim-1M,MLIP,26.0531766,15.12462771,41.17780431,0.0306681969,0.6679408783
Matterim-5M,MLIP,27.00806802,16.4301888,43.43825682,0.01987476557,0.648522926
Orb-v3-conservative-20-MPA,MLIP,33.27542176,19.26125024,52.536672,0.01128155025,0.5691111972
Orb-v3-conservative-20-OMAT,MLIP,39.38191134,21.76534026,61.1472516,0.2541212565,0.4857051619
Orb-v3-conservative-inf-MPA,MLIP,33.16974668,19.32356753,52.49331421,0.01129995742,0.5694904454
Orb-v3-conservative-inf-OMAT,MLIP,39.44007704,21.29154321,60.73162025,0.01137486554,0.4972998501
Orb-v3-direct-20-MPA,MLIP,32.79166333,19.28482045,52.07648378,0.007892730566,0.5732676683
Orb-v3-direct-20-OMAT,MLIP,38.19187591,20.22126009,58.413136,0.01997107593,0.5173026008
Orb-v3-direct-inf-MPA,MLIP,33.8567231,19.40113658,53.25785968,0.007824182984,0.5629184193
Orb-v3-direct-inf-OMAT,MLIP,37.45011204,20.50168231,57.95179435,0.007758158737,0.5217904093
Sevennet-OMOL25-high,MLIP,32.1967389,18.39043502,50.58717392,0.0578808045,0.5845282191
Sevennet-OMOL25-low,MLIP,38.48045393,22.03259573,60.51304966,0.06497825148,0.4973058991
Sevennet-combined,MLIP,34.89574694,19.79788127,55.20886494,0.06321053199,0.5438450378
SpookyNet,MLIP,20.8426392,15.87652538,36.71916458,0.02266106886,0.7072978683
UMA-m-1p1,MLIP,2.123566793,1.74930018,3.872866973,0.1052344508,0.9922418108
UMA-s-1p1,MLIP,4.013242185,3.156787548,7.170029733,0.0416847563,0.965539721
UMA-s-1p2,MLIP,2.687141629,2.423107581,5.11024921,0.0515554678,0.9832398233
TACE-OAM-7M,MLIP,32.13892724,19.24253646,51.3814637,0.02474942437,0.5787445906
TACE-OMat24-7M,MLIP,32.78834267,21.73533715,54.52367982,0.02474881366,0.5512110581
TACE-OAM-RRA-1.0,MLIP,34.94009915,20.31589486,55.25599401,0.06373099975,0.5434139786
TACE-OMat24-RRA-1.0,MLIP,38.335072,24.33342954,62.66850154,0.0679612249,0.4783154286
Orbmol-v1-conservative,MLIP,4.083024126,3.643713835,7.726737961,0.02318285966,0.9613240951
Orbmol-v1-direct,MLIP,3.921414485,4.425302044,8.346716529,0.01116633403,0.9563282875
Orbmol-v2,MLIP,4.198027434,2.604461828,6.802489262,0.02047729619,0.9695206734
ANI-2x,MLIP,33.18305352,20.33386157,53.51691509,0.009798476513,0.5605761073
